datetime,temperature_degC,probe_id
2022-12-20 20:31:21,35.25,TC
2022-12-20 20:36:22,33.88,TD
2022-12-20 20:36:22,38.13,TA
2022-12-20 20:36:22,37.31,TB
2022-12-20 20:36:22,35.25,TC
2022-12-20 20:41:23,33.88,TD
2022-12-20 20:41:23,38.13,TA
2022-12-20 20:41:23,37.31,TB
2022-12-20 20:41:23,35.31,TC
2022-12-20 20:46:24,33.81,TD
2022-12-20 20:46:24,38.13,TA
2022-12-20 20:46:24,37.38,TB
2022-12-20 20:46:24,35.31,TC
2022-12-20 20:51:25,33.88,TD
2022-12-20 20:51:25,38.13,TA
2022-12-20 20:51:25,37.38,TB
2022-12-20 20:51:25,35.31,TC
2022-12-20 20:56:26,33.88,TD
2022-12-20 20:56:26,38.13,TA
2022-12-20 20:56:26,37.38,TB
2022-12-20 20:56:26,35.31,TC
2022-12-20 21:01:27,33.88,TD
2022-12-20 21:01:27,38.19,TA
2022-12-20 21:01:27,37.38,TB
2022-12-20 21:01:27,35.25,TC
2022-12-20 21:06:28,33.94,TD
2022-12-20 21:06:28,38.19,TA
2022-12-20 21:06:28,37.44,TB
2022-12-20 21:06:28,35.25,TC
2022-12-20 21:11:29,33.94,TD
2022-12-20 21:11:29,38.19,TA
2022-12-20 21:11:29,37.38,TB
2022-12-20 21:11:29,35.31,TC
2022-12-20 21:16:30,33.88,TD
2022-12-20 21:16:30,38.19,TA
2022-12-20 21:16:30,37.44,TB
2022-12-20 21:16:30,35.38,TC
2022-12-20 21:21:31,33.88,TD
2022-12-20 21:21:31,38.25,TA
2022-12-20 21:21:31,37.44,TB
2022-12-20 21:21:31,35.38,TC
2022-12-20 21:26:32,33.88,TD
2022-12-20 21:26:32,38.25,TA
2022-12-20 21:26:32,37.38,TB
2022-12-20 21:26:32,35.31,TC
2022-12-20 21:31:33,33.94,TD
2022-12-20 21:31:33,38.25,TA
2022-12-20 21:31:33,37.38,TB
2022-12-20 21:31:33,35.31,TC
2022-12-20 21:36:34,33.94,TD
2022-12-20 21:36:34,38.25,TA
2022-12-20 21:36:34,37.38,TB
2022-12-20 21:36:34,35.38,TC
2022-12-20 21:41:35,34.00,TD
2022-12-20 21:41:35,38.31,TA
